username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2020-02-14 14:51;0;0;"Cronovirus motherfucker in the middle killing everyone pic.twitter.com/nJ61dit5PU";;;;"1228300797085130752";https://twitter.com/Dog_Toffee/status/1228300797085130752
;2020-02-14 12:48;1;0;"# UK, # China, # COVD19, # cronovirus: Good just how irresponsible can you get, by not wearing a mask you put yourself in danger & all those around you. I hope she was arrested & put in prison. https://twitter.com/RT_com/status/1228267640361144320 …";;;# # # #;"1228269654516391936";https://twitter.com/MayaWintersSMS/status/1228269654516391936
;2020-02-14 12:13;0;1;"این خارجی ها خیلی سوسولن! # كرونا تا حالا حدود ۱۴۰۰ نفر رو تو یه ماه کشته که اینقدر شلوغش کردن! که هنوز به ۱۵۰۰ نفر # آبان_ماه هم نرسیده! # cronavirus # cronovirus";;;# # # #;"1228260847656538117";https://twitter.com/Amirnas537/status/1228260847656538117
;2020-02-14 11:44;0;0;"# Pakistan # Cronovirus @ zfrmrza @ ImranKhanPTI Chinese unable control spread by welcoming & allowing passengers in Pakistan through direct flights youre not doing your country good job, You very well know we dont have enough facility deal disaster Pakistanhttps://www.cnn.com/2020/02/13/asia/coronavirus-health-care-workers-infected-intl-hnk/index.html …";;@ @;# #;"1228253792115838977";https://twitter.com/BorhanFootwear/status/1228253792115838977
;2020-02-14 11:34;3;5;"“¿Habrá más Mobiles?, por Manel Pérez “ Coincideixó amb la pregunta de fons de l’autor : Cronovirus o batalla del 5G? https://www.lavanguardia.com/local/barcelona/20200214/473543638020/habra-mas-mobiles.html …";;;;"1228251037108199424";https://twitter.com/cesc_castellana/status/1228251037108199424
;2020-02-14 10:18;0;6;"# Pakistanistudents, scholars in # China continue to weigh in on virus fight # APPNews # cronovirus @ CathayPak https://www.app.com.pk/pakistani-students-scholars-in-china-continue-to-weigh-in-on-virus-fight/ …pic.twitter.com/t7eVkzRH64";;@;# # # #;"1228232007877967873";https://twitter.com/appcsocialmedia/status/1228232007877967873
;2020-02-14 10:02;1;1;"Educate yourself it may save your life # cronovirus https://youtu.be/3yZliBftSaM";;;#;"1228228021435260929";https://twitter.com/NewJerseyMikey/status/1228228021435260929
;2020-02-14 09:37;0;2;"Coronavirus knocks down another global event, this time it’s the telecom industry . . # cronovirus # MWC20 # MWC2020 # mwcbarcelona # mymobilereviewerhttps://www.mymobilereviewer.com/gsm-association-cancels-mobile-world-congress-due-to-coronavirus/ …";;;# # # # #;"1228221799218855939";https://twitter.com/reviewer_my/status/1228221799218855939
;2020-02-14 09:24;0;0;"# Pakistan # CronoVirus # WHO @ zfrmrza just for the sake of face saving Pakistan, is the only country to resume the direct flights with China and Chinese passengers coming in on daily basishttp://www.9news.com.au/world/coronavirus-two-thirds-of-the-world-could-catch-illness/617b72e1-1bc6-4fcf-926d-e3ec76a05656?ocid=Social-9NewsS …";;@;# # #;"1228218550923300866";https://twitter.com/BorhanFootwear/status/1228218550923300866
;2020-02-14 08:45;0;1;"Breaking *** Cancelled due to Crono Virus***";;;;"1228208518576013313";https://twitter.com/travelinty/status/1228208518576013313
